userid,gender,age,agegroup,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,longitude,latitude,country,district,province,city
user-drc-7382157-1691,Male,27,20 - 29,Electricity,Electricity,Neutral,Roads,Water,School,School,Daily,Yes,Once a week,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-6159247-575,Male,59,50+,Water,Sanitation,Dissatisfied,Water,Electricity,Electricity,Roads,Daily,Yes,Once a month,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-9221102-1636,Female,39,30 - 39,Roads,Water,Dissatisfied,Electricity,Water,Electricity,School,Daily,Yes,Never,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-4328274-482,Male,21,20 - 29,School,School,Satisfied,School,Water,Roads,Water,Daily,Yes,Once a month,17.36918,-3.3268,Democratic Republic of Congo,,Bandundu,
user-drc-6356713-1268,Female,14,10 - 19,School,School,Satisfied,School,Health clinic,Electricity,School,Once a week,Yes,Once a week,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-3503119-1094,Male,24,20 - 29,Roads,Health clinic,Satisfied,Roads,Electricity,Electricity,,Daily,No,Never,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-4496680-1051,Female,22,20 - 29,Roads,Health clinic,Dissatisfied,Water,Electricity,Electricity,Water,Daily,Yes,Once a month,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-7553799-314,Female,21,20 - 29,School,Health clinic,Neutral,School,Electricity,School,School,Daily,Yes,Once a year,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-5356523-1176,Male,47,40 - 49,Roads,Roads,Dissatisfied,Sanitation,Roads,Roads,Health clinic,Once a week,Yes,Never,25.11,0.32,Democratic Republic of Congo,,Oriental,
user-drc-6685253-1213,Male,26,20 - 29,Water,Sanitation,Satisfied,Water,Electricity,Electricity,Sanitation,Once a week,Yes,Once a month,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-9204126-526,Female,29,20 - 29,Roads,Roads,Dissatisfied,Roads,School,Electricity,Electricity,Daily,Yes,Never,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-8848383-782,Male,17,10 - 19,Electricity,Electricity,Dissatisfied,School,School,Water,,Daily,Yes,Never,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-7758833-358,Male,26,20 - 29,School,Health clinic,Satisfied,School,Health clinic,School,School,Daily,Yes,,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-2813100-31,Male,21,20 - 29,School,Health clinic,Dissatisfied,School,School,Roads,School,Daily,Yes,Once a week,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-7309742-1398,Male,39,30 - 39,Sanitation,Electricity,Neutral,Sanitation,School,School,Sanitation,Daily,No,Never,15.31389,-4.331666,Democratic Republic of Congo,Mont Amba,Kinshasa,Kinshasa
user-drc-1236431-827,Male,,,School,Electricity,Dissatisfied,School,Sanitation,Water,Health clinic,Daily,No,Once a year,29.28737,0.127752,Democratic Republic of Congo,Vulamba,Nord Kivu,Butembo
user-drc-7535334-1397,Male,41,40 - 49,Roads,Health clinic,Dissatisfied,Water,Electricity,Electricity,Electricity,Daily,No,Never,15.31389,-4.331666,Democratic Republic of Congo,Mont Amba,Kinshasa,Kinshasa
user-drc-3737174-700,Male,42,40 - 49,Electricity,School,Dissatisfied,Water,Electricity,Electricity,Sanitation,Daily,Yes,Once a month,25.11,0.32,Democratic Republic of Congo,,Oriental,
user-drc-8379172-1572,Male,22,20 - 29,School,Roads,Dissatisfied,Health clinic,Health clinic,Water,Roads,Daily,No,Never,25.95,-2.95,Democratic Republic of Congo,Tokolote,Maniema,Kindu
user-drc-1768183-95,Male,17,10 - 19,Roads,Health clinic,Neutral,Water,Electricity,Sanitation,School,Once a week,No,Never,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-7472622-94,Male,,,Health clinic,Electricity,Dissatisfied,Health clinic,Electricity,Roads,Roads,Daily,Yes,Once a year,25.11,0.32,Democratic Republic of Congo,,Oriental,
user-drc-4611392-835,Male,25,20 - 29,School,Sanitation,Satisfied,Sanitation,Water,Sanitation,Sanitation,Less than once a month,Yes,Once a month,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-3420650-820,Male,56,50+,Electricity,Sanitation,Dissatisfied,Water,Electricity,Electricity,Sanitation,Daily,Yes,Once a month,14.86913,-5.252099,Democratic Republic of Congo,Cataractes,Bas Congo,Mbanza-Ngungu
user-drc-7418542-927,Male,24,20 - 29,Water,Electricity,Dissatisfied,Water,Roads,Water,Water,Daily,Yes,Never,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-2205200-1712,Male,20,20 - 29,School,School,Neutral,School,Water,Electricity,School,Less than once a month,Yes,Never,17.36918,-3.3268,Democratic Republic of Congo,,Bandundu,
user-drc-3831504-127,Male,20,20 - 29,School,Sanitation,Neutral,School,Sanitation,Electricity,Electricity,Daily,Yes,Once a month,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-7653085-1701,Female,24,20 - 29,Roads,Roads,Dissatisfied,Water,Electricity,Roads,Sanitation,Daily,No,Never,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-8700996-1517,Male,43,40 - 49,Health clinic,Health clinic,Dissatisfied,School,Water,Water,School,Daily,No,Never,25.11,0.32,Democratic Republic of Congo,,Oriental,
user-drc-9653385-1012,Male,24,20 - 29,Electricity,Water,Dissatisfied,Water,Sanitation,Electricity,Electricity,Daily,Yes,Never,17.36918,-3.3268,Democratic Republic of Congo,,Bandundu,
user-drc-3377259-1535,Female,21,20 - 29,School,School,Satisfied,School,Roads,School,School,Daily,Yes,Never,29.48504,0.48579,Democratic Republic of Congo,,Nord Kivu,
user-drc-3127466-183,Male,18,10 - 19,School,Sanitation,Neutral,School,Electricity,School,School,Daily,No,Once a month,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-3545510-1303,Male,25,20 - 29,School,Health clinic,Satisfied,School,School,Water,Roads,Daily,Yes,Once a month,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-9090475-331,Male,27,20 - 29,Sanitation,School,Neutral,School,Health clinic,Electricity,Health clinic,Daily,No,Never,29.48504,0.48579,Democratic Republic of Congo,,Nord Kivu,
user-drc-2259774-905,Female,27,20 - 29,Roads,Sanitation,Dissatisfied,Water,Electricity,Electricity,Roads,Daily,No,Once a year,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-5657975-1359,Male,24,20 - 29,School,School,Satisfied,School,School,School,School,Daily,Yes,Once a week,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-4553871-634,Male,21,20 - 29,School,Electricity,Neutral,Health clinic,Electricity,Roads,School,Daily,Yes,Once a month,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-1858053-1326,Male,43,40 - 49,Roads,Electricity,Dissatisfied,School,Electricity,Roads,School,Once a week,Yes,Once a month,23.44074,-4.972329,Democratic Republic of Congo,Sankuru,Kasai Oriental,Lusambo
user-drc-5375653-215,Male,39,30 - 39,Water,Electricity,Dissatisfied,Water,Roads,Roads,Roads,Daily,No,Once a month,28.84508,-2.515364,Democratic Republic of Congo,Bagira,Sud Kivu,Bukavu
user-drc-6868192-1819,Male,41,40 - 49,School,School,Neutral,School,Health clinic,School,School,Daily,Yes,Once a month,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-6934461-789,Male,42,40 - 49,School,Health clinic,Dissatisfied,School,,Water,Water,Less than once a month,Yes,Never,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-7115474-705,Male,25,20 - 29,School,Sanitation,Dissatisfied,School,,Sanitation,Sanitation,Daily,Yes,Once a month,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-4990304-344,Female,21,20 - 29,School,School,Satisfied,Health clinic,School,School,School,Daily,Yes,Once a month,25.11,0.32,Democratic Republic of Congo,,Oriental,
user-drc-9465819-1766,Female,23,20 - 29,Sanitation,Sanitation,Dissatisfied,School,Health clinic,Water,School,Once a week,No,Never,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-9738837-443,Male,31,30 - 39,School,School,Satisfied,School,Water,Water,,Daily,Yes,Once a week,15.31389,-4.331666,Democratic Republic of Congo,Mont Amba,Kinshasa,Kinshasa
user-drc-6211816-295,Male,20,20 - 29,School,Electricity,Satisfied,Health clinic,School,Water,School,Daily,Yes,Once a month,25.11,0.32,Democratic Republic of Congo,,Oriental,
user-drc-6969288-1367,Male,46,40 - 49,School,Health clinic,Neutral,Health clinic,Health clinic,Sanitation,Electricity,Daily,Yes,Once a week,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-9082894-1030,Female,,,Water,Water,Dissatisfied,Sanitation,Sanitation,Roads,Health clinic,Once a week,No,Never,29.48504,0.48579,Democratic Republic of Congo,,Nord Kivu,
user-drc-6838600-994,Female,18,10 - 19,School,School,Neutral,School,Water,Roads,School,Less than once a month,Yes,Once a month,29.48504,0.48579,Democratic Republic of Congo,,Nord Kivu,
user-drc-8017000-408,Male,27,20 - 29,School,Health clinic,Neutral,Health clinic,Water,School,Roads,Once a week,No,Once a week,18.80762,0.5693591,Democratic Republic of Congo,,Equateur,
user-drc-8893040-873,Male,41,40 - 49,School,Roads,Neutral,School,Electricity,Roads,Electricity,Less than once a month,No,Once a year,14.12535,-4.96341,Democratic Republic of Congo,,Bas Congo,
user-drc-8962253-745,Female,26,20 - 29,School,Electricity,Dissatisfied,School,Roads,Water,Health clinic,Once a week,No,Never,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-9448536-1464,Female,18,10 - 19,School,School,Neutral,School,Health clinic,School,Water,Daily,Yes,Never,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-4832386-944,Male,32,30 - 39,,Sanitation,Neutral,School,Water,School,Electricity,Once a week,No,Never,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-3602210-403,Male,26,20 - 29,School,School,Neutral,Electricity,Electricity,Electricity,Health clinic,Once a week,Yes,Never,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-9096601-1581,Male,24,20 - 29,Roads,School,Dissatisfied,Roads,Electricity,Roads,Electricity,Less than once a month,Yes,Once a month,29.48504,0.48579,Democratic Republic of Congo,,Nord Kivu,
user-drc-8348519-1686,Female,29,20 - 29,Water,Electricity,Dissatisfied,School,Roads,Health clinic,Health clinic,Daily,Yes,Once a month,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-3583923-1764,Male,20,20 - 29,School,Roads,Satisfied,School,School,School,School,Daily,Yes,Once a week,18.80762,0.5693591,Democratic Republic of Congo,,Equateur,
user-drc-5858735-130,Male,17,10 - 19,School,Water,Satisfied,School,Water,School,School,Daily,Yes,Once a week,17.36918,-3.3268,Democratic Republic of Congo,,Bandundu,
user-drc-2331837-946,Male,27,20 - 29,Health clinic,Sanitation,Dissatisfied,School,Roads,School,Health clinic,Daily,No,Never,25.11,0.32,Democratic Republic of Congo,,Oriental,
user-drc-8875765-869,Male,25,20 - 29,,School,Satisfied,Roads,Roads,Roads,Electricity,Once a week,Yes,Once a week,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-9279405-720,Female,43,40 - 49,School,School,Dissatisfied,Water,Sanitation,Sanitation,Sanitation,Daily,Yes,Once a week,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-2432889-1660,Male,26,20 - 29,Electricity,School,Dissatisfied,Roads,Electricity,Electricity,Roads,Once a week,Yes,Once a month,27.47955,-11.66468,Democratic Republic of Congo,Haut-Katanga,Katanga,Lubumbashi
user-drc-1280440-920,Female,25,20 - 29,Roads,Sanitation,Dissatisfied,Electricity,Water,Water,Roads,Daily,Yes,Once a month,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-4915394-833,Male,34,30 - 39,Roads,Electricity,Neutral,Roads,Water,Water,Water,Daily,Yes,Once a month,25.11,0.32,Democratic Republic of Congo,,Oriental,
user-drc-8356510-1229,Male,44,40 - 49,Sanitation,Electricity,Dissatisfied,Health clinic,Roads,Roads,Roads,Daily,Yes,Once a year,26.04139,-3.073093,Democratic Republic of Congo,,Maniema,
user-drc-3827544-15,Male,25,20 - 29,Water,Roads,Dissatisfied,Health clinic,Water,Water,Electricity,Once a week,No,Never,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-5905418-1098,Male,44,40 - 49,School,Roads,Dissatisfied,School,Health clinic,Health clinic,Health clinic,Once a week,Yes,Once a month,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-6603510-646,Male,32,30 - 39,Water,Water,Neutral,Water,Health clinic,Health clinic,Health clinic,Daily,No,Once a year,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-8008711-823,Female,21,20 - 29,Water,Electricity,Dissatisfied,School,Roads,Sanitation,School,,No,Never,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-7692778-1241,Male,55,50+,Sanitation,Electricity,Neutral,Roads,Water,Electricity,School,Once a week,Yes,Once a month,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-9005936-273,Female,55,50+,Water,Water,Dissatisfied,Water,Roads,Roads,Electricity,Daily,No,Never,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-8617024-1301,Male,42,40 - 49,School,School,Neutral,School,Water,School,School,Daily,No,Never,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-4833224-1734,Male,23,20 - 29,Water,Sanitation,Dissatisfied,Water,Sanitation,Sanitation,Water,Daily,No,Once a month,15.31389,-4.331666,Democratic Republic of Congo,Mont Amba,Kinshasa,Kinshasa
user-drc-4932000-1630,Male,31,30 - 39,Roads,Electricity,Dissatisfied,School,Electricity,Roads,Electricity,Daily,Yes,Once a month,15.31389,-4.331666,Democratic Republic of Congo,Mont Amba,Kinshasa,Kinshasa
user-drc-5986256-1185,Male,33,30 - 39,Roads,Electricity,Dissatisfied,Water,,Sanitation,Sanitation,Daily,No,Never,14.12535,-4.96341,Democratic Republic of Congo,,Bas Congo,
user-drc-3532780-1797,Male,20,20 - 29,School,Health clinic,Dissatisfied,Water,Water,Water,Health clinic,Daily,No,Once a month,25.11,0.32,Democratic Republic of Congo,,Oriental,
user-drc-7078064-1758,Male,20,20 - 29,Water,Health clinic,Neutral,Water,Roads,Water,Health clinic,Daily,Yes,Once a week,26.98923,-5.384138,Democratic Republic of Congo,Tanganyika,Katanga,Kongolo
user-drc-7850973-1508,Male,25,20 - 29,Health clinic,,Neutral,Water,Sanitation,Electricity,Water,Daily,Yes,Once a month,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-5644270-989,Male,24,20 - 29,Water,Water,Dissatisfied,Electricity,Water,,Sanitation,Once a week,Yes,Once a month,15.31389,-4.331666,Democratic Republic of Congo,Mont Amba,Kinshasa,Kinshasa
user-drc-4525636-1150,Male,59,50+,Electricity,Sanitation,Dissatisfied,Health clinic,Sanitation,Sanitation,Sanitation,Daily,Yes,Once a week,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-9873798-346,Male,34,30 - 39,School,Sanitation,Dissatisfied,School,Sanitation,Sanitation,Sanitation,Daily,No,Once a week,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-8816358-793,Male,43,40 - 49,School,School,Dissatisfied,Health clinic,Electricity,Electricity,Electricity,Less than once a month,Yes,Never,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-4063797-397,Male,53,50+,School,Roads,Dissatisfied,Water,Roads,Roads,Roads,Daily,No,Never,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-1764655-181,Female,19,10 - 19,Water,Electricity,Dissatisfied,School,,Water,Water,Daily,Yes,Never,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-5316455-1061,Male,26,20 - 29,Roads,Electricity,Dissatisfied,Water,Roads,Roads,Roads,Once a week,No,Never,26.41939,-8.885115,Democratic Republic of Congo,Kamoto,Katanga,Kamoto
user-drc-7843938-462,Male,20,20 - 29,School,School,Neutral,School,Water,Health clinic,Water,Daily,No,Never,25.95,-2.95,Democratic Republic of Congo,Kindu,Maniema,Kindu
user-drc-7920287-1488,Male,21,20 - 29,School,School,Dissatisfied,School,Health clinic,Water,School,Daily,Yes,Once a month,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-5637914-637,Female,37,30 - 39,Electricity,Sanitation,Dissatisfied,Sanitation,Electricity,Electricity,School,Less than once a month,No,Once a year,22.40278,-5.892211,Democratic Republic of Congo,Lulua,Kasai Occidental,Kananga
user-drc-4413318-1407,Male,26,20 - 29,Sanitation,Sanitation,Dissatisfied,Electricity,Sanitation,School,School,Daily,Yes,Once a week,29.48504,0.48579,Democratic Republic of Congo,,Nord Kivu,
user-drc-9692266-727,Male,53,50+,Roads,Health clinic,Neutral,School,Electricity,Electricity,Water,Once a week,No,Once a week,27.47955,-11.66468,Democratic Republic of Congo,Haut-Katanga,Katanga,Lubumbashi
user-drc-9161155-1726,Male,59,50+,Roads,Electricity,Dissatisfied,Roads,Water,Water,School,Daily,No,Never,15.31389,-4.331666,Democratic Republic of Congo,Mont Amba,Kinshasa,Kinshasa
user-drc-3106780-235,Male,25,20 - 29,Electricity,Electricity,Neutral,School,Sanitation,Sanitation,Electricity,Daily,Yes,Once a month,15.31389,-4.331666,Democratic Republic of Congo,Mont Amba,Kinshasa,Kinshasa
user-drc-9215470-605,Female,25,20 - 29,Health clinic,Sanitation,Neutral,Health clinic,Sanitation,Sanitation,Health clinic,Daily,Yes,Once a month,14.12535,-4.96341,Democratic Republic of Congo,,Bas Congo,
user-drc-5462577-891,Female,18,10 - 19,School,School,Satisfied,School,School,School,School,Daily,Yes,,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-2492883-1379,Male,49,40 - 49,Electricity,Water,Neutral,School,Roads,Health clinic,Health clinic,Less than once a month,No,Once a month,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-1471144-238,Male,28,20 - 29,Roads,Sanitation,Neutral,Health clinic,,Roads,Health clinic,Daily,Yes,Never,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-3127582-1106,Female,17,10 - 19,School,Health clinic,Neutral,School,Water,Water,School,Daily,Yes,Once a month,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-8689583-706,Female,38,30 - 39,School,Water,Neutral,Water,Roads,Roads,School,Daily,No,Never,15.31389,-4.331666,Democratic Republic of Congo,Mont Amba,Kinshasa,Kinshasa
user-drc-8920092-611,Male,,,Health clinic,Roads,Dissatisfied,School,Sanitation,Sanitation,Water,Daily,Yes,Once a week,17.04213,-4.808897,Democratic Republic of Congo,Kwango,Bandundu,Kenge
user-drc-6832557-773,Female,35,30 - 39,Roads,Health clinic,Dissatisfied,Roads,Water,Roads,Roads,Once a week,Yes,Once a month,15.31389,-4.331666,Democratic Republic of Congo,Mont Amba,Kinshasa,Kinshasa
user-drc-3173268-342,Male,29,20 - 29,School,Electricity,Neutral,School,Roads,Roads,School,Daily,Yes,Once a week,25.11,0.32,Democratic Republic of Congo,,Oriental,
user-drc-2259785-701,Male,23,20 - 29,Electricity,Electricity,Dissatisfied,Roads,Sanitation,Electricity,School,Daily,No,Never,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-9348510-316,Male,44,40 - 49,Water,Electricity,Dissatisfied,School,Roads,Roads,School,Daily,No,Never,23.58983,-6.136985,Democratic Republic of Congo,Tshilenge District,Kasai Oriental,Mbuji-Mayi
user-drc-8671260-1296,Female,25,20 - 29,Roads,Roads,Dissatisfied,Roads,Roads,Roads,Roads,Once a week,Yes,,26.04139,-3.073093,Democratic Republic of Congo,,Maniema,
user-drc-1663687-1157,Male,30,30 - 39,Roads,Health clinic,Dissatisfied,School,Roads,Roads,Roads,Daily,Yes,Never,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-8974823-1179,Male,38,30 - 39,Sanitation,Sanitation,Neutral,Sanitation,Sanitation,Sanitation,Electricity,Once a week,No,Once a year,25.11,0.32,Democratic Republic of Congo,,Oriental,
user-drc-3422787-974,Male,29,20 - 29,Health clinic,School,Dissatisfied,Roads,Roads,Electricity,Sanitation,Daily,No,,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-4032784-1836,Male,19,10 - 19,Electricity,Water,Neutral,Electricity,Water,Health clinic,School,Once a week,No,Once a week,28.29943,-3.011658,Democratic Republic of Congo,,Sud Kivu,
user-drc-2833540-239,Male,27,20 - 29,Water,Roads,Neutral,Roads,School,Health clinic,Sanitation,Daily,No,Never,15.31389,-4.331666,Democratic Republic of Congo,Mont Amba,Kinshasa,Kinshasa
user-drc-8604139-659,Male,24,20 - 29,School,Water,Neutral,Health clinic,Electricity,School,Electricity,Daily,Yes,Once a month,14.12535,-4.96341,Democratic Republic of Congo,,Bas Congo,
user-drc-8671558-600,Male,33,30 - 39,Electricity,Electricity,Neutral,Health clinic,Health clinic,Health clinic,Sanitation,Daily,Yes,Once a week,27.47955,-11.66468,Democratic Republic of Congo,Haut-Katanga,Katanga,Lubumbashi
user-drc-5043221-339,Male,32,30 - 39,School,School,Dissatisfied,Water,Roads,Roads,Roads,Daily,No,Once a week,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-5667240-992,Male,37,30 - 39,Electricity,Electricity,Dissatisfied,Roads,Roads,Roads,Water,Less than once a month,Yes,Once a week,29.48504,0.48579,Democratic Republic of Congo,,Nord Kivu,
user-drc-4630650-1092,Female,20,20 - 29,Health clinic,Health clinic,Neutral,Health clinic,School,Water,Electricity,Daily,No,Once a month,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-8378972-258,Male,34,30 - 39,Roads,Electricity,Neutral,,Roads,Roads,School,Less than once a month,Yes,Once a year,27.47955,-11.66468,Democratic Republic of Congo,Haut-Katanga,Katanga,Lubumbashi
user-drc-1852754-1477,Male,41,40 - 49,Roads,School,Dissatisfied,School,Health clinic,Health clinic,Health clinic,Once a week,Yes,Never,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-1070730-866,Female,33,30 - 39,Electricity,Electricity,Dissatisfied,School,Electricity,Electricity,Electricity,Daily,Yes,Never,28.29943,-3.011658,Democratic Republic of Congo,,Sud Kivu,
user-drc-5827221-1289,Male,32,30 - 39,School,School,Satisfied,School,Roads,Roads,Roads,Daily,Yes,Never,29.28737,0.127752,Democratic Republic of Congo,Butembo Mwingi,Nord Kivu,Butembo
user-drc-7090330-620,Female,37,30 - 39,Water,Electricity,Satisfied,Water,Health clinic,Water,Water,Once a week,Yes,Once a month,18.80762,0.5693591,Democratic Republic of Congo,,Equateur,
user-drc-9122624-1504,Male,66,50+,Roads,Roads,Dissatisfied,School,Electricity,Electricity,School,Less than once a month,No,Once a year,15.31389,-4.331666,Democratic Republic of Congo,Mont Amba,Kinshasa,Kinshasa
user-drc-8906521-486,Female,24,20 - 29,Sanitation,Sanitation,Neutral,School,Water,Water,School,Daily,Yes,Never,25.11,0.32,Democratic Republic of Congo,,Oriental,
user-drc-8362548-1114,Male,38,30 - 39,Roads,,Dissatisfied,Roads,Roads,Sanitation,School,Daily,Yes,Never,15.31389,-4.331666,Democratic Republic of Congo,Mont Amba,Kinshasa,Kinshasa
user-drc-8919096-1072,Male,35,30 - 39,Electricity,Sanitation,Dissatisfied,Roads,Roads,Health clinic,Health clinic,Daily,Yes,Once a month,23.59332,-6.10617,Democratic Republic of Congo,,Kasai Oriental,
user-drc-6371028-1256,Male,31,30 - 39,Health clinic,Health clinic,Satisfied,Health clinic,Roads,School,Electricity,Daily,No,Never,18.80762,0.5693591,Democratic Republic of Congo,,Equateur,
user-drc-3914151-1401,Male,19,10 - 19,Roads,School,Neutral,Health clinic,Water,School,Health clinic,Daily,No,,15.37167,-4.310395,Democratic Republic of Congo,,,
user-drc-8415070-59,Male,37,30 - 39,Roads,Health clinic,Dissatisfied,Roads,Sanitation,Sanitation,Health clinic,Daily,Yes,Once a year,15.31389,-4.331666,Democratic Republic of Congo,Mont Amba,Kinshasa,Kinshasa
user-drc-8115193-1225,Male,24,20 - 29,Roads,Sanitation,Neutral,Water,Electricity,Electricity,Water,,Yes,Once a year,15.31389,-4.331666,Democratic Republic of Congo,Mont Amba,Kinshasa,Kinshasa
user-drc-7231372-35,Male,30,30 - 39,Electricity,Electricity,Dissatisfied,Water,Sanitation,Electricity,Electricity,Daily,No,Once a month,15.31389,-4.331666,Democratic Republic of Congo,Mont Amba,Kinshasa,Kinshasa
user-drc-3364719-36,Female,22,20 - 29,Health clinic,Water,Neutral,School,Electricity,Water,Water,Daily,Yes,Never,15.62599,-4.20242,Democratic Republic of Congo,,Kinshasa,
user-drc-7845852-254,Female,18,10 - 19,Roads,Health clinic,Satisfied,School,Roads,Water,School,,No,Once a week,17.36918,-3.3268,Democratic Republic of Congo,,Bandundu,
